placement_id,application_id,start_date,bill_rate_usd,employment_type
1,792,2026-03-28,90,Full-time
2,647,2024-05-23,96,Full-time
3,410,2026-04-19,45,Full-time
4,129,2024-08-19,87,Full-time
5,501,2025-06-05,118,Full-time
6,76,2026-04-26,62,Full-time
7,897,2024-07-21,66,Contract
8,156,2026-01-18,57,Full-time
9,133,2025-06-25,113,Full-time
10,473,2025-07-28,51,Contract
11,596,2024-05-19,39,Contract
12,438,2024-11-29,113,Contract
13,572,2026-01-21,88,Full-time
14,198,2025-12-24,74,Contract
15,57,2026-01-29,86,Contract
16,495,2024-10-22,40,Contract
17,404,2025-06-15,97,Contract
18,777,2024-07-11,63,Contract
19,56,2024-12-29,97,Full-time
20,889,2025-11-16,101,Contract
21,303,2024-06-23,117,Full-time
22,501,2025-05-20,75,Full-time
23,335,2025-07-17,112,Full-time
24,3,2024-06-03,56,Contract
25,361,2025-05-06,103,Contract
26,973,2024-11-12,71,Full-time
27,104,2024-08-23,65,Full-time
28,473,2025-08-22,61,Full-time
29,423,2024-05-27,51,Full-time
30,442,2024-08-30,36,Full-time
31,614,2025-01-15,37,Contract
32,974,2026-01-23,82,Contract
33,612,2025-11-11,78,Full-time
34,107,2026-05-03,100,Full-time
35,4,2025-05-25,101,Full-time
36,816,2025-09-04,109,Full-time
37,360,2025-09-15,37,Full-time
38,311,2024-07-24,49,Full-time
39,159,2026-01-31,35,Full-time
40,302,2025-07-13,72,Full-time
41,675,2025-09-07,118,Contract
42,40,2024-12-24,72,Contract
43,57,2026-01-12,91,Full-time
44,50,2024-12-30,55,Full-time
45,790,2025-10-06,43,Full-time
46,446,2025-12-06,63,Contract
47,418,2026-04-12,89,Contract
48,424,2025-06-10,79,Full-time
49,397,2025-07-19,46,Full-time
50,537,2025-07-05,84,Contract
51,109,2025-10-12,50,Contract
52,372,2025-08-14,117,Full-time
53,240,2026-02-16,115,Contract
54,686,2025-02-07,81,Contract
55,833,2025-08-21,86,Contract
56,115,2024-09-23,101,Contract
57,171,2026-03-09,39,Full-time
58,78,2026-01-18,86,Full-time
59,5,2025-03-11,62,Full-time
60,920,2025-04-25,38,Contract
61,709,2025-03-03,60,Contract
62,90,2025-05-29,106,Full-time
63,457,2026-01-14,103,Full-time
64,649,2025-11-21,54,Contract
65,257,2025-09-13,71,Full-time
66,195,2025-01-29,101,Contract
67,266,2026-05-22,52,Contract
68,906,2025-02-01,54,Full-time
69,977,2025-02-03,42,Full-time
70,603,2024-08-28,57,Full-time
71,565,2025-01-08,53,Contract
72,85,2024-12-12,46,Full-time
73,554,2025-03-23,42,Full-time
74,231,2025-05-30,63,Full-time
75,302,2025-06-17,113,Full-time
76,599,2026-02-25,50,Contract
77,496,2026-06-03,60,Full-time
78,964,2026-01-27,36,Contract
79,683,2024-10-15,104,Full-time
80,386,2025-05-06,61,Contract
81,207,2025-08-12,82,Full-time
82,206,2025-03-10,42,Full-time
83,423,2024-05-30,93,Contract
84,965,2025-02-22,117,Full-time
85,675,2025-09-05,111,Full-time
86,670,2026-06-03,81,Contract
87,492,2026-04-25,60,Full-time
88,275,2025-12-16,52,Contract
89,537,2025-08-05,48,Full-time
90,816,2025-08-20,95,Full-time
91,113,2024-10-02,93,Full-time
92,345,2025-01-03,97,Full-time
93,65,2024-12-05,36,Contract
94,344,2025-09-28,62,Full-time
95,832,2024-09-06,55,Contract
96,812,2024-11-05,79,Full-time
97,257,2025-09-02,37,Full-time
98,199,2026-04-29,64,Contract
99,983,2025-12-30,89,Contract
100,330,2024-06-28,94,Full-time
101,935,2026-01-17,108,Full-time
102,522,2025-02-21,74,Full-time
103,535,2025-03-23,74,Contract
104,910,2025-07-08,111,Full-time
105,324,2026-03-11,64,Contract
106,274,2024-11-10,44,Full-time
107,897,2024-07-04,55,Contract
108,664,2025-03-10,114,Contract
109,499,2025-12-25,72,Contract
110,708,2025-03-07,72,Full-time
111,323,2025-11-12,51,Contract
112,397,2025-07-29,36,Contract
113,438,2024-11-27,38,Full-time
114,721,2025-05-26,69,Contract
115,41,2025-08-26,36,Full-time
116,105,2025-11-07,108,Contract
117,562,2025-02-21,118,Contract
118,505,2025-11-10,44,Contract
119,461,2025-03-31,94,Contract
120,553,2024-10-11,39,Contract
121,840,2025-04-01,38,Contract
122,102,2026-05-31,47,Full-time
123,935,2025-12-27,80,Full-time
124,20,2025-03-11,115,Full-time
125,965,2025-02-27,63,Contract
126,407,2025-08-22,52,Full-time
127,730,2024-08-19,44,Full-time
128,249,2024-09-24,75,Full-time
129,183,2025-10-05,79,Contract
130,529,2025-10-06,78,Contract
131,612,2025-11-16,78,Full-time
132,336,2025-02-16,51,Contract
133,541,2024-07-14,84,Full-time
134,155,2026-02-03,74,Contract
135,195,2025-01-16,74,Contract
136,978,2024-07-21,110,Full-time
137,915,2026-02-04,54,Full-time
138,645,2026-05-22,118,Contract
139,185,2026-04-17,99,Full-time
140,65,2024-11-16,43,Full-time
141,24,2024-10-17,63,Full-time
142,804,2025-02-12,120,Full-time
143,769,2026-03-05,51,Full-time
144,573,2024-07-17,80,Full-time
145,52,2026-03-26,87,Full-time
146,295,2024-10-19,44,Contract
147,922,2024-11-07,63,Contract
148,708,2025-02-23,97,Full-time
149,772,2025-11-09,98,Full-time
150,259,2024-10-19,118,Contract
151,202,2025-06-24,66,Contract
152,477,2024-11-10,98,Full-time
153,109,2025-10-07,68,Full-time
154,782,2026-03-02,88,Full-time
155,854,2024-11-17,72,Full-time
156,173,2026-04-11,66,Full-time
157,865,2024-08-15,74,Full-time
158,778,2025-07-07,46,Full-time
159,642,2025-06-14,44,Full-time
160,725,2025-04-12,91,Full-time
161,613,2024-10-30,55,Contract
162,13,2025-11-15,92,Contract
163,758,2024-12-25,92,Full-time
164,528,2024-06-13,73,Full-time
165,830,2025-10-25,79,Full-time
166,418,2026-04-01,109,Contract
167,8,2026-02-02,43,Full-time
168,242,2025-04-09,96,Contract
169,152,2026-05-30,44,Contract
170,616,2025-07-31,54,Contract
171,842,2025-01-31,79,Contract
172,276,2026-05-02,93,Full-time
173,915,2026-02-02,99,Full-time
174,625,2025-03-21,87,Contract
175,267,2025-08-08,50,Contract
176,649,2025-12-23,58,Contract
177,566,2025-08-21,95,Contract
178,908,2024-07-17,66,Contract
179,781,2025-08-10,76,Contract
180,12,2024-07-17,37,Full-time
181,914,2026-01-28,42,Full-time
182,256,2025-08-17,101,Full-time
183,293,2025-08-28,114,Full-time
184,863,2025-04-01,100,Full-time
185,986,2025-02-24,62,Contract
186,942,2026-01-02,51,Full-time
187,511,2025-12-07,72,Full-time
188,939,2024-07-22,79,Contract
189,721,2025-06-15,113,Contract
190,466,2025-05-14,51,Full-time
191,355,2026-01-11,86,Contract
192,387,2025-04-23,89,Contract
193,920,2025-05-02,84,Contract
194,830,2025-10-24,117,Contract
195,378,2026-05-17,98,Contract
196,895,2025-02-28,78,Full-time
197,961,2026-02-27,103,Full-time
198,618,2025-01-16,113,Full-time
199,829,2025-05-30,91,Full-time
200,512,2025-02-19,72,Full-time
201,903,2024-07-07,45,Full-time
202,844,2026-04-08,86,Contract
203,748,2025-02-25,46,Contract
204,296,2025-09-13,96,Contract
205,832,2024-09-14,53,Full-time
206,252,2025-08-16,43,Contract
207,317,2024-09-03,113,Full-time
208,429,2025-01-10,73,Contract
209,61,2024-10-18,83,Contract
210,15,2025-02-15,85,Full-time
211,87,2026-01-25,56,Full-time
212,572,2026-02-08,103,Contract
213,801,2025-02-16,50,Full-time
214,813,2026-02-01,106,Full-time
215,550,2025-05-20,58,Full-time
216,858,2025-03-26,110,Contract
217,259,2024-10-18,54,Contract
218,276,2026-05-07,69,Contract
219,481,2025-12-31,83,Full-time
220,523,2024-10-17,58,Full-time
221,965,2025-02-11,82,Contract
222,210,2026-02-19,108,Full-time
223,523,2024-11-23,74,Contract
224,487,2026-03-09,43,Full-time
225,784,2025-01-26,56,Contract
226,24,2024-10-14,57,Contract
227,763,2026-01-02,118,Full-time
228,381,2025-07-31,97,Contract
229,561,2025-09-26,120,Contract
230,222,2026-02-06,102,Full-time
231,3,2024-05-21,96,Full-time
232,640,2026-02-12,68,Full-time
233,534,2026-03-17,94,Full-time
234,814,2026-02-04,70,Full-time
235,217,2025-02-18,49,Full-time
236,216,2025-02-21,89,Contract
237,630,2025-08-22,87,Full-time
238,681,2024-06-12,77,Full-time
239,522,2025-02-17,40,Contract
240,461,2025-03-31,89,Full-time
241,954,2026-02-21,67,Contract
242,953,2024-11-26,65,Full-time
243,57,2026-01-22,60,Contract
244,933,2024-12-02,66,Full-time
245,536,2025-12-05,103,Contract
246,417,2024-08-20,120,Contract
247,461,2025-04-10,91,Full-time
248,659,2025-12-23,54,Full-time
249,715,2024-05-12,83,Full-time
250,637,2026-04-28,85,Full-time
